;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
3001,1,86.2,267.5,3.1,30.5,0.9,2.4,27.3,45.7,0.5,0.4,1.6,0.8,0.3,25,0.5,1.5,0,0,9.9,5.3,0,0,0,0,64145,0
3002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3004,4,3,11.9,4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3005,5,0,0,0,45.3,2.6,33.7,9,80.4,1.5,1.1,30.2,3.5,0.8,2.1,1.5,4.5,34.6,0,0.5,0,0,0,0,0,64145,0
3006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3007,7,5.9,19.6,3.32,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,64145,0
3008,8,2.9,7.8,2.64,0,0,0,0,15.6,0,0,0,0,0,0,0,0,15.4,0,0,0.2,0,0,0,0,64145,0
3009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3012,12,3,8.8,2.98,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3013,13,164.3,484.4,2.95,47.9,17.2,7,23.6,121.9,1.5,15.7,2.3,4.8,0.4,20.4,0.7,2.2,0,33,30.8,10.2,0,0,0,0,64145,0
3014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3017,17,7,29.9,4.29,4,0.3,2.7,1,4.4,0.2,0.1,2.4,0.3,0.1,0.2,0.2,0.5,0,0,0,0.4,0,0,0,0,64145,0
