;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66905,0,0,0,3,BOX ELDER
2,30002,14.9,81.7,5.483221477,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,2.4,0.9,66905,0,0,0,3,BOX ELDER
3,30003,14.9,61.9,4.154362416,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,1.8,0.9,51492,0,0,0,3,BOX ELDER
4,30004,3.9,12.9,3.307692308,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.6,0.2,51492,0,0,0,3,BOX ELDER
5,30005,58.1,172.5,2.969018933,6.6,0.6,1.7,4.3,16.1,0.3,0.3,1.2,0.5,0.2,0.5,2.5,1.1,0,0,6,3.5,68948,0,0,0,3,BOX ELDER
6,30006,6,19.3,3.216666667,4.4,0,4.4,0,6,0,0,0,4.4,0,0,0,0,0,0,1.2,0.4,51492,0,0,0,3,BOX ELDER
7,30007,44,126.8,2.881818182,49.6,4.2,26,19.4,138.2,2.7,1.5,6.4,19.6,1.1,2.8,2.1,13.4,84.8,0,1.2,2.6,51492,0,0,0,3,BOX ELDER
8,30008,46.1,150.3,3.260303688,43.5,10.7,0.6,32.2,49.2,10.6,0.1,0.4,0.2,29.7,0.2,0.1,2.2,0,0,3,2.7,71055,0,0,0,3,BOX ELDER
9,30009,22.7,27.3,1.202643172,64.5,1.8,56.2,6.5,73.7,1,0.8,3.6,52.6,0.6,1.5,1.1,3.3,0,0,7.8,1.4,51492,0,0,0,3,BOX ELDER
10,30010,17.8,59.5,3.342696629,52.6,0,52.6,0,54.9,0,0,0,52.6,0,0,0,0,0,0,1.2,1.1,51492,0,0,0,3,BOX ELDER
11,30011,5.4,15.9,2.944444444,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,1.8,0.3,71342,0,0,0,3,BOX ELDER
12,30012,16.2,55.8,3.444444444,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,2.4,1,71342,0,0,0,3,BOX ELDER
13,30013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0,0,0,3,BOX ELDER
14,30014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0,0,0,3,BOX ELDER
15,30015,1,2.9,2.9,281.5,13.4,213.7,54.4,303.9,7.4,6,114.1,99.6,4.3,11.1,8.3,30.7,19.3,0,3,0.1,66905,0,0,0,3,BOX ELDER
16,30016,7.4,21.8,2.945945946,66.8,0,43.2,23.6,75.7,0,0,0.4,42.8,0,0,0,23.6,0,0,8.4,0.5,68948,0,0,0,3,BOX ELDER
17,30017,7.2,39.6,5.5,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,2.4,0.4,71342,0,0,0,3,BOX ELDER
18,30018,0,0,0,736.5,31.8,592.2,112.5,743.7,17.5,14.3,438.4,153.8,10.1,26.3,19.6,56.5,0,0,7.2,0,71342,0,0,0,3,BOX ELDER
19,30019,172.9,604.4,3.495662233,42.3,13.8,16.2,12.3,64.5,12.2,1.6,6.7,9.5,1.1,2.9,2.1,6.2,0,0,12,10.2,68948,0,0,0,3,BOX ELDER
20,30020,156.1,402.2,2.576553491,111.3,17.4,29.1,64.8,138.6,12.9,4.5,19.3,9.8,3.2,8.3,6.2,47.1,0,0,18,9.3,79483,0,0,0,3,BOX ELDER
21,30021,0,0,0,432.2,13.8,369.2,49.2,435.2,7.6,6.2,336.9,32.3,4.4,11.5,8.6,24.7,0,0,3,0,68948,0,0,0,3,BOX ELDER
22,30022,11.3,33.4,2.955752212,50.4,5.7,23.9,20.8,65,3,2.7,18.8,5.1,1.9,4.8,3.6,10.5,0,0,13.8,0.8,68948,0,0,0,3,BOX ELDER
