CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
1001,0,1,BEAVER,72807
1002,0,1,BEAVER,45757
1003,0,1,BEAVER,45757
1004,0,1,BEAVER,45757
1005,0,1,BEAVER,58867
1006,0,1,BEAVER,45757
1007,0,1,BEAVER,58867
1008,0,1,BEAVER,51326
1009,0,1,BEAVER,45757
1010,0,1,BEAVER,58602
1011,0,1,BEAVER,50415
1012,0,1,BEAVER,45757
1013,0,1,BEAVER,45757
1014,0,1,BEAVER,45757
1015,0,1,BEAVER,67011
1016,0,1,BEAVER,72807
1017,0,1,BEAVER,72807
1018,0,1,BEAVER,72807
1019,0,1,BEAVER,70102
1020,0,1,BEAVER,72807
1021,0,1,BEAVER,72807
1022,0,1,BEAVER,45757
1023,0,1,BEAVER,72807
1024,0,1,BEAVER,45757
1025,0,1,BEAVER,45757
1026,0,1,BEAVER,45757
1027,0,1,BEAVER,45757
1028,0,1,BEAVER,72807
1029,0,1,BEAVER,72807
1030,0,1,BEAVER,72807
1031,0,1,BEAVER,72807
1032,0,1,BEAVER,72807
1033,0,1,BEAVER,66860
1034,0,1,BEAVER,72807
1035,0,1,BEAVER,66860
1036,0,1,BEAVER,67775
1037,0,1,BEAVER,45757
1038,0,1,BEAVER,66860
1039,0,1,BEAVER,66860
1040,0,1,BEAVER,45757
1041,0,1,BEAVER,68842
1042,0,1,BEAVER,72807
1043,0,1,BEAVER,66860
1044,0,1,BEAVER,72807
1045,0,1,BEAVER,72807
1046,0,1,BEAVER,72807
1047,0,1,BEAVER,72807
1048,0,1,BEAVER,72807
1049,0,1,BEAVER,72807
1050,0,1,BEAVER,72807
1051,0,1,BEAVER,72807
1052,0,1,BEAVER,72807
1053,0,1,BEAVER,72807
1054,0,1,BEAVER,72807
1055,0,1,BEAVER,72807
1056,0,1,BEAVER,66860
1057,0,1,BEAVER,72807
1058,0,1,BEAVER,66860
1059,0,1,BEAVER,72807
1060,0,1,BEAVER,66860
1061,0,1,BEAVER,66860
1062,0,1,BEAVER,48909
1063,0,1,BEAVER,48999
1064,0,1,BEAVER,66860
1065,0,1,BEAVER,48007
1066,0,1,BEAVER,66860
1067,0,1,BEAVER,66860
1068,0,1,BEAVER,66860
1069,0,1,BEAVER,66860
1070,0,1,BEAVER,66860
1071,0,1,BEAVER,66860
1072,0,1,BEAVER,66860
1073,0,1,BEAVER,66860
1074,0,1,BEAVER,66860
1075,0,1,BEAVER,66860
1076,0,1,BEAVER,66860
1077,0,1,BEAVER,66860
1078,0,1,BEAVER,66860
1079,0,1,BEAVER,66860
1080,0,1,BEAVER,66860
