;Index,CO_FIPS,YEAR,TOTPOP,GQ_Pop,HH_Pop,HH,HH_Size,POP_00_17,POP_18_64,POP_65P,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,Job_HH,WrkPop_Job,CO_NAME,Urban_Rural,Subarea
11990,1,1990,4782,58,4724,1583,2.98,1745,2264,773,2113,286,162,116,188,21,441,55,372,332,17,63,60,1.33,1.07,Beaver,Rural,0 - UDOT (Rural)
11991,1,1991,4946,71,4875,1637,2.98,1789,2369,788,2198,250,143,86,140,23,486,60,410,381,42,115,62,1.34,1.08,Beaver,Rural,0 - UDOT (Rural)
11992,1,1992,5044,83,4961,1668,2.97,1809,2443,792,2201,250,143,86,140,23,487,61,410,382,42,115,62,1.32,1.11,Beaver,Rural,0 - UDOT (Rural)
11993,1,1993,5172,96,5076,1710,2.97,1839,2533,800,2287,260,149,90,146,24,505,63,425,397,44,120,64,1.34,1.11,Beaver,Rural,0 - UDOT (Rural)
11994,1,1994,5402,111,5291,1787,2.96,1904,2675,823,2573,293,166,101,163,27,568,70,480,447,50,134,74,1.44,1.04,Beaver,Rural,0 - UDOT (Rural)
11995,1,1995,5672,130,5542,1875,2.96,1982,2839,851,2676,304,173,106,169,28,592,73,498,464,52,140,77,1.43,1.06,Beaver,Rural,0 - UDOT (Rural)
11996,1,1996,5858,147,5711,1936,2.95,2030,2962,866,2947,335,191,116,187,30,652,80,549,512,57,154,84,1.52,1.01,Beaver,Rural,0 - UDOT (Rural)
11997,1,1997,5870,160,5710,1940,2.94,2016,3000,854,3125,355,203,122,198,32,693,85,582,543,60,163,89,1.61,0.96,Beaver,Rural,0 - UDOT (Rural)
11998,1,1998,5705,168,5537,1884,2.94,1942,2946,817,3128,355,203,122,198,32,693,85,584,543,60,164,89,1.66,0.94,Beaver,Rural,0 - UDOT (Rural)
11999,1,1999,5951,187,5764,1966,2.93,2008,3104,839,3058,347,198,120,194,31,677,83,570,531,59,160,88,1.56,1.02,Beaver,Rural,0 - UDOT (Rural)
12000,1,2000,6022,202,5820,1988,2.93,2014,3172,836,3153,358,205,124,200,32,697,86,587,547,61,165,91,1.59,1.01,Beaver,Rural,0 - UDOT (Rural)
12001,1,2001,6195,190,6005,2052,2.93,2075,3269,851,3116,354,202,122,198,32,689,85,581,541,60,163,89,1.52,1.05,Beaver,Rural,0 - UDOT (Rural)
12002,1,2002,6279,174,6105,2088,2.92,2106,3319,854,3102,375,215,112,192,29,709,99,597,489,57,143,85,1.49,1.07,Beaver,Rural,0 - UDOT (Rural)
12003,1,2003,6276,155,6121,2094,2.92,2107,3324,845,3096,338,428,93,236,28,678,109,405,532,20,141,88,1.48,1.07,Beaver,Rural,0 - UDOT (Rural)
12004,1,2004,6296,136,6160,2107,2.92,2116,3340,840,3179,345,368,96,270,39,694,110,491,516,23,136,91,1.51,1.05,Beaver,Rural,0 - UDOT (Rural)
12005,1,2005,6327,119,6208,2125,2.92,2129,3363,835,3274,351,376,107,273,40,696,95,520,529,50,145,92,1.54,1.03,Beaver,Rural,0 - UDOT (Rural)
12006,1,2006,6411,101,6310,2161,2.92,2160,3413,838,3366,333,340,102,315,45,693,115,573,526,56,172,96,1.56,1.01,Beaver,Rural,0 - UDOT (Rural)
12007,1,2007,6446,81,6365,2180,2.92,2175,3437,834,3612,376,361,143,349,64,713,117,579,502,86,219,103,1.66,0.95,Beaver,Rural,0 - UDOT (Rural)
12008,1,2008,6500,63,6437,2206,2.92,2195,3472,833,3749,365,358,120,381,62,735,136,639,532,111,202,108,1.70,0.93,Beaver,Rural,0 - UDOT (Rural)
12009,1,2009,6550,44,6506,2230,2.92,2215,3505,830,3848,359,361,110,375,67,733,134,657,534,147,261,110,1.73,0.91,Beaver,Rural,0 - UDOT (Rural)
12010,1,2010,6645,23,6622,2245,2.95,2244,3563,838,3612,374,589,85,348,50,749,114,414,558,68,163,100,1.61,0.99,Beaver,Rural,0 - UDOT (Rural)
12011,1,2011,6668,24,6644,2244,2.96,2230,3582,856,3780,387,578,104,322,71,790,123,466,557,51,224,107,1.68,0.95,Beaver,Rural,0 - UDOT (Rural)
12012,1,2012,6689,24,6665,2242,2.97,2215,3600,874,3753,404,508,110,307,56,737,120,460,561,249,131,110,1.67,0.96,Beaver,Rural,0 - UDOT (Rural)
12013,1,2013,6782,24,6758,2264,2.98,2224,3657,901,4045,406,526,139,320,57,764,111,576,596,230,200,120,1.79,0.90,Beaver,Rural,0 - UDOT (Rural)
12014,1,2014,6697,24,6673,2225,3.00,2173,3619,905,3936,421,598,149,314,45,763,106,487,574,224,135,120,1.77,0.92,Beaver,Rural,0 - UDOT (Rural)
12015,1,2015,6755,24,6731,2234,3.01,2170,3658,927,4064,446,526,159,306,76,767,116,414,564,410,154,126,1.82,0.90,Beaver,Rural,0 - UDOT (Rural)
12016,1,2016,6835,24,6811,2249,3.03,2174,3707,954,4005,471,508,165,295,61,760,104,585,583,180,166,127,1.78,0.93,Beaver,Rural,0 - UDOT (Rural)
12017,1,2017,6906,25,6881,2260,3.04,2173,3753,980,4110,495,510,174,275,67,755,133,604,672,113,180,132,1.82,0.91,Beaver,Rural,0 - UDOT (Rural)
12018,1,2018,6981,25,6956,2272,3.06,2174,3801,1006,4233,517,619,174,374,76,768,120,539,601,79,221,145,1.86,0.90,Beaver,Rural,0 - UDOT (Rural)
12019,1,2019,7055,25,7030,2283,3.08,2174,3848,1033,4215,497,514,187,218,77,783,112,553,596,297,230,151,1.85,0.91,Beaver,Rural,0 - UDOT (Rural)
12020,1,2020,7076,25,7051,2276,3.10,2158,3867,1051,4030,458,428,171,217,63,719,111,472,556,240,218,377,1.77,0.96,Beaver,Rural,0 - UDOT (Rural)
12021,1,2021,7156,25,7131,2307,3.09,2163,3908,1085,4168,491,467,186,233,73,718,115,529,566,299,238,253,1.81,0.94,Beaver,Rural,0 - UDOT (Rural)
12022,1,2022,7247,26,7221,2341,3.08,2163,3947,1137,4167,474,472,186,239,79,724,118,572,529,322,250,202,1.78,0.95,Beaver,Rural,0 - UDOT (Rural)
12023,1,2023,7343,27,7316,2373,3.08,2167,3994,1182,4238,460,513,191,239,86,734,123,591,548,316,251,186,1.79,0.94,Beaver,Rural,0 - UDOT (Rural)
12024,1,2024,7441,28,7413,2420,3.06,2173,4060,1208,4269,447,535,193,235,89,737,127,603,562,310,246,185,1.76,0.95,Beaver,Rural,0 - UDOT (Rural)
12025,1,2025,7541,28,7513,2471,3.04,2185,4119,1237,4296,442,540,196,234,92,738,129,616,569,309,246,185,1.74,0.96,Beaver,Rural,0 - UDOT (Rural)
12026,1,2026,7639,29,7610,2521,3.02,2179,4190,1270,4303,440,539,198,232,95,740,131,621,567,308,246,186,1.71,0.97,Beaver,Rural,0 - UDOT (Rural)
12027,1,2027,7736,29,7707,2570,3.00,2170,4269,1297,4305,437,539,199,229,97,741,133,625,566,306,248,185,1.68,0.99,Beaver,Rural,0 - UDOT (Rural)
12028,1,2028,7830,29,7801,2615,2.98,2154,4353,1323,4326,433,542,200,225,99,746,135,634,564,309,254,185,1.65,1.01,Beaver,Rural,0 - UDOT (Rural)
12029,1,2029,7921,30,7891,2648,2.98,2142,4433,1346,4352,433,545,202,219,101,748,137,638,564,314,265,186,1.64,1.02,Beaver,Rural,0 - UDOT (Rural)
