;Index,CO_FIPS,YEAR,Tel_RETL,Tel_FOOD,Tel_MANU,Tel_WSLE,Tel_OFFI,Tel_GVED,Tel_HLTH,Tel_OTHR,Tel_AGRI,Tel_MING,Tel_CONS,HBJ_RETL,HBJ_FOOD,HBJ_MANU,HBJ_WSLE,HBJ_OFFI,HBJ_GVED,HBJ_HLTH,HBJ_OTHR,HBJ_AGRI,HBJ_MING,HBJ_CONS,HBJ,Telecom,Tot_WAH,CO_NAME
11990,1,1990,0.0097,0.0092,0.0077,0.0129,0.0282,0.0044,0.0136,0.0241,0.0395,0.0029,0.0119,0.0166,0.0158,0.0132,0.0222,0.0486,0.0076,0.0234,0.0414,0.0678,0.0053,0.0202,0.0287,0.0167,0.0454,Beaver
11991,1,1991,0.0094,0.0089,0.0075,0.0125,0.0275,0.0043,0.0133,0.0234,0.0383,0.0031,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0226,0.0402,0.0658,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
11992,1,1992,0.0094,0.0089,0.0075,0.0125,0.0275,0.0043,0.0132,0.0234,0.0383,0.0031,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0227,0.0402,0.0658,0.0050,0.0196,0.0287,0.0168,0.0455,Beaver
11993,1,1993,0.0094,0.0089,0.0075,0.0124,0.0276,0.0043,0.0131,0.0234,0.0384,0.0030,0.0114,0.0161,0.0153,0.0127,0.0214,0.0472,0.0074,0.0227,0.0402,0.0658,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
11994,1,1994,0.0094,0.0089,0.0075,0.0125,0.0275,0.0043,0.0132,0.0234,0.0384,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0226,0.0401,0.0658,0.0050,0.0196,0.0287,0.0168,0.0455,Beaver
11995,1,1995,0.0094,0.0089,0.0075,0.0125,0.0276,0.0043,0.0132,0.0234,0.0383,0.0031,0.0114,0.0161,0.0153,0.0128,0.0215,0.0472,0.0074,0.0227,0.0401,0.0657,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
11996,1,1996,0.0094,0.0089,0.0075,0.0125,0.0275,0.0043,0.0132,0.0234,0.0383,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0472,0.0074,0.0227,0.0402,0.0658,0.0051,0.0196,0.0287,0.0167,0.0454,Beaver
11997,1,1997,0.0094,0.0089,0.0075,0.0124,0.0276,0.0043,0.0132,0.0234,0.0383,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0226,0.0401,0.0658,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
11998,1,1998,0.0094,0.0089,0.0075,0.0124,0.0276,0.0043,0.0132,0.0234,0.0383,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0226,0.0401,0.0658,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
11999,1,1999,0.0094,0.0089,0.0075,0.0125,0.0276,0.0043,0.0132,0.0234,0.0383,0.0031,0.0114,0.0161,0.0153,0.0128,0.0215,0.0473,0.0074,0.0227,0.0402,0.0658,0.0051,0.0196,0.0287,0.0167,0.0454,Beaver
12000,1,2000,0.0094,0.0089,0.0075,0.0125,0.0276,0.0043,0.0132,0.0234,0.0383,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0227,0.0402,0.0658,0.0051,0.0196,0.0287,0.0167,0.0454,Beaver
12001,1,2001,0.0094,0.0089,0.0075,0.0124,0.0276,0.0044,0.0132,0.0234,0.0383,0.0030,0.0114,0.0161,0.0153,0.0128,0.0214,0.0471,0.0074,0.0226,0.0401,0.0658,0.0050,0.0196,0.0287,0.0167,0.0454,Beaver
12002,1,2002,0.0097,0.0092,0.0077,0.0130,0.0283,0.0044,0.0136,0.0238,0.0395,0.0032,0.0118,0.0166,0.0158,0.0132,0.0223,0.0487,0.0076,0.0234,0.0409,0.0677,0.0051,0.0202,0.0287,0.0167,0.0454,Beaver
12003,1,2003,0.0099,0.0093,0.0078,0.0132,0.0290,0.0045,0.0139,0.0244,0.0398,0.0030,0.0120,0.0169,0.0161,0.0134,0.0227,0.0497,0.0078,0.0238,0.0419,0.0685,0.0050,0.0205,0.0287,0.0167,0.0454,Beaver
12004,1,2004,0.0098,0.0092,0.0077,0.0130,0.0273,0.0044,0.0137,0.0247,0.0393,0.0030,0.0119,0.0167,0.0159,0.0133,0.0222,0.0468,0.0077,0.0235,0.0423,0.0675,0.0052,0.0203,0.0287,0.0167,0.0454,Beaver
12005,1,2005,0.0098,0.0092,0.0077,0.0130,0.0274,0.0044,0.0137,0.0248,0.0390,0.0032,0.0119,0.0167,0.0159,0.0133,0.0224,0.0471,0.0077,0.0236,0.0427,0.0674,0.0052,0.0203,0.0287,0.0167,0.0454,Beaver
12006,1,2006,0.0096,0.0091,0.0076,0.0128,0.0270,0.0044,0.0135,0.0245,0.0390,0.0030,0.0117,0.0165,0.0157,0.0131,0.0219,0.0464,0.0076,0.0232,0.0422,0.0673,0.0052,0.0200,0.0287,0.0167,0.0454,Beaver
12007,1,2007,0.0099,0.0094,0.0079,0.0131,0.0282,0.0045,0.0139,0.0259,0.0402,0.0031,0.0121,0.0170,0.0162,0.0135,0.0226,0.0485,0.0078,0.0240,0.0445,0.0693,0.0053,0.0207,0.0287,0.0167,0.0454,Beaver
12008,1,2008,0.0098,0.0093,0.0078,0.0130,0.0286,0.0044,0.0138,0.0255,0.0398,0.0031,0.0119,0.0168,0.0160,0.0133,0.0224,0.0489,0.0077,0.0237,0.0439,0.0684,0.0052,0.0204,0.0287,0.0167,0.0454,Beaver
12009,1,2009,0.0099,0.0093,0.0078,0.0131,0.0284,0.0045,0.0139,0.0256,0.0400,0.0031,0.0120,0.0169,0.0161,0.0134,0.0226,0.0487,0.0078,0.0238,0.0439,0.0688,0.0052,0.0205,0.0287,0.0167,0.0454,Beaver
